TeamName-001
1
2
70
66
CaptainABC
CoachABC
UserNameA
Pass123
11
Player-1| 1| 21 | 7 | 17 | 17 | 365 | 18 |
Player-2| 2| 15 | 12 | 12 | 17 | 258 | 17 |
Player-3| 3| 21 | 7 | 16 | 17 | 362 | 15 |
Player-4| 4| 18 | 9 | 15 | 17 | 314 | 14 |
Player-5| 5| 12 | 19 | 10 | 17 | 214 | 20 |
Player-6| 6| 25 | 3 | 21 | 17 | 438 | 16 |
Player-7| 7| 12 | 19 | 5 | 17 | 211 | 17 |
Player-8| 8| 9 | 20 | 3 | 17 | 159 | 15 |
Player-9| 9| 29 | 1 | 22 | 17 | 495 | 17 |
Player-10| 10| 17 | 10 | 13 | 17 | 297 | 22 |
Player-11| 11| 13 | 16 | 4 | 17 | 223 | 16 |
