TeamName-002
2
1
70
66
CaptainDEF
CoachDEF
UserNameB
Pass123
11
Player-1| 1| 13 | 16 | 4 | 17 | 223 | 16 |
Player-2| 2| 16 | 11 | 11 | 17 | 276 | 9 |
Player-3| 3| 23 | 5 | 18 | 17 | 397 | 15 |
Player-4| 4| 20 | 8 | 15 | 17 | 342 | 6 |
Player-5| 5| 24 | 4 | 19 | 17 | 412 | 11 |
Player-6| 6| 13 | 14 | 9 | 17 | 237 | 8 |
Player-7| 7| 26 | 2 | 15 | 17 | 446 | 16 |
Player-8| 8| 13 | 15 | 8 | 17 | 232 | 9 |
Player-9| 9| 12 | 15 | 15 | 17 | 218 | 20 |
Player-10| 10| 8 | 21 | 2 | 17 | 137 | 13 |
Player-11| 11| 4 | 22 | 1 | 17 | 78 | 18 |
